Fabio Crumpler 1980 forward 08724587 80Kgs
Morgan Schumacher 1981 back 87998901 76Kgs
Fausto Horta 1982 mid 87998902 75kgs
Lino Mckelvey 1983 forward 87998903 67kgs
Lesia Sargent 1984 back 87998904 69kgs
Sharen Lima 1985 mid 87998905 84kgs
Renita Vance 1986 forward 87998906 89kgs
Chara Hemsley 1987 back 87998907 93kgs
Chet Cluff 1988 mid 87998908 103kgs
Luciana Sholtis 1989 forward 87998909 76kgs
Mercedes Aurand 1990 back 87998910 57kgs
Ileana Simmonds 1991 mid 87998911 77kgs
Jewell Stephens 1992 forward 87998912 88kgs
Gina Isaacson 1993 back 87998913 69kgs
Hermelinda Higa 1994 mid 87998914 74kgs
Fredda Vrba 1995 forward 87998915 62kgs
Jaquelyn Fizer 1996 back 87998916 97kgs
Fe Jonason 1997 mid 87998917 68kgs
Fredda Vrba 1998 forward 87998918 74kgs
Jaquelyn Fizer 1999 back 87998919 68kgs
Fe Jonason 2000 mid 87998920 91kgs
Fredda Vrba 2001 forward 87998921 95kgs
Jaquelyn Fizer 2002 back 87998922 91kgs
